Overall Rank,Partner Id,Partner,Company URL,FTC Risk Tier,Tier Rank,Site Category,Pages Scanned,Disclosure Found,Disclosure URLs,Sample Disclosure Text,Clear and Conspicuous,Sufficient Language,No Action to View,Frequent Disclosure,Explicit Commission Language,Passive Language Detected,Brand Identification Disclosed,Ranking Influence Disclosed,Sponsored Content Disclosed,Biz Op Policy Risk,Notes
1,3508855,The Free Website Guys LLC,http://www.thefreewebsiteguys.com,High,1,directory/ranking,1,True,http://www.thefreewebsiteguys.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Mock data for dashboard/CSV preview
2,34020,Natural Intelligence LTD,http://www.naturalint.com/,High,2,blog,2,True,http://www.naturalint.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,No,Yes,No,No,No,No,No,No,No,No,Disclosure found but may not be clear/conspicuous (mock scenario)
3,170658,Momentum Publishing Corp,http://www.webhostingcomparisons.org,High,3,coupon,3,True,http://www.webhostingcomparisons.org/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Mock data for dashboard/CSV preview
4,1955282,Forbes Digital Marketing Inc.,http://forbes.com,High,4,hybrid,4,False,,,No,No,No,No,No,No,No,No,No,No,No disclosure language detected (mock scenario)
5,101044,Capital One,https://capitaloneshopping.com,High,5,youtube/social media,1,True,https://capitaloneshopping.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Disclosure found but may not be clear/conspicuous (mock scenario)
6,1985270,Cappsool123,https://www.cappsool.com/,High,6,course,2,True,https://www.cappsool.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,Yes,No,No,No,No,No,No,No,No,Mock data for dashboard/CSV preview
7,11535,Awesome Motive Inc.,http://www.wpbeginner.com,High,7,directory/ranking,3,True,http://www.wpbeginner.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Mock data for dashboard/CSV preview
8,3256132,Adtech lt,https://cybernews.com,High,8,blog,4,False,,,No,No,No,No,No,No,No,No,No,No,No disclosure language detected (mock scenario)
9,12796,DGMAX Interactive,http://www.dgmaxinteractive.com,High,9,coupon,1,True,http://www.dgmaxinteractive.com/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Mock data for dashboard/CSV preview
10,10132,Future Publishing Ltd Savings,http://www.myvouchercodes.co.uk,High,10,hybrid,2,True,http://www.myvouchercodes.co.uk/disclosure,We earn a commission if you make a purchase of Bluehost products through referral links. This compensation affects placement and ratings.,Yes,Yes,No,Yes,No,No,No,No,No,No,Mock data for dashboard/CSV preview
